,0,1
0, Matthias Werner,"['Marketing Management', 'Strategic Management', 'International Business', 'Innovation', 'Innovation Management']"
1, Guido Brunnett,"['3D Computer Graphics', '3D Modeling', 'Virtual Reality', 'Computer Graphics and Animation', '3D Reconstruction']"
2, Fred Hamker,"['Neurobiology and Brain Physiology', 'Neuroinformatics', 'Theoretical Neuroscience', 'Computational Neuroscience', 'Cognitive Neuroscience']"
3, Maximilian Eibl,['Technische Universität Chemnitz']
4, Gudula Rünger,"['MPI', 'Parallel Programming', 'Scientific Computing', 'High Performance Computing', 'Parallel Processing']"
5, Alejandro Masrur,"['Field Geology', 'Structural Geology', 'Geochronology']"
6, Janet Siegmund,['Dr. M.G.R. University']
7, Wolfram Hardt,"['Rapid Prototyping', 'Optimization', 'Simulation', 'Prototyping', 'Software Engineering']"
8, Andreas Goerdt,['Universitas Pelita Harapan']
9, Hanno Lefmann,"['Combinatorics', 'Graph Τheory', 'Geometry', 'Combinatorial Optimization', 'Discrete Geometry']"
